Id,items-links-href,Address,Address-city,Price,Year,SqMtr,Rooms,Code
1547408445-621,https://www.funda.nl/koop/verkocht/delft/huis-40418204-justus-van-schoonhovenstraat-5/?navigateSource=resultlist,Justus van Schoonhovenstraat 5,2613 NX Delft,"325,000",1944,82,4,2613
1547412425-1495,https://www.funda.nl/koop/verkocht/delft/appartement-40692368-hoflandendreef-78/?navigateSource=resultlist,Hoflandendreef 78,2614 MV Delft,"289,000",2014,105,3,2614
1547412323-1473,https://www.funda.nl/koop/verkocht/delft/appartement-40824805-papsouwselaan-189/?navigateSource=resultlist,Papsouwselaan 189,2624 AM Delft,"225,000",1967,91,3,2624
1547410514-1072,https://www.funda.nl/koop/verkocht/delft/huis-40698438-prof-oudemansstraat-9/?navigateSource=resultlist,Prof. dr. Oudemansstraat 9,2628 KA Delft,"269,000",1952,70,4,2628
1547409575-866,https://www.funda.nl/koop/verkocht/delft/appartement-40445884-oostsingel-56/?navigateSource=resultlist,Oostsingel 56,2612 HD Delft,"205,000",1925,59,2,2612
1547407787-476,https://www.funda.nl/koop/verkocht/delft/huis-49344832-hoflandendreef-387/?navigateSource=resultlist,Hoflandendreef 387,2614 MT Delft,"320,799",2018,129,6,2614
1547408706-679,https://www.funda.nl/koop/verkocht/delft/huis-40416213-wilhelminalaan-202/?navigateSource=resultlist,Wilhelminalaan 202,2625 KK Delft,"259,000",1970,105,5,2625
1547409733-899,https://www.funda.nl/koop/verkocht/delft/appartement-40546080-roland-holstlaan-957/?navigateSource=resultlist,Roland Holstlaan 957,2624 KH Delft,"189,500",1967,75,3,2624
1547408960-734,https://www.funda.nl/koop/verkocht/delft/appartement-40573962-zuiderstraat-248/?navigateSource=resultlist,Zuiderstraat 248,2611 SL Delft,"225,000",1976,84,3,2611
1547408744-688,https://www.funda.nl/koop/verkocht/delft/appartement-40563344-litouwen-29/?navigateSource=resultlist,Lithuania 29,2613 MB Delft,"225,000",1993,75,2,2613
1547413028-1629,https://www.funda.nl/koop/verkocht/delft/appartement-40997176-foulkeslaan-50/?navigateSource=resultlist,Foulkeslaan 50,2625 PZ Delft,"195,000",1973,93,4,2625
1547410501-1069,https://www.funda.nl/koop/verkocht/delft/appartement-40662214-bouwnummer-bouwnr-428/?navigateSource=resultlist,Building number (Building No. 428),2611 BV Delft,"205,000",2018,37,1,2611
1547411664-1328,https://www.funda.nl/koop/verkocht/delft/appartement-40874791-icarusweg-131/?navigateSource=resultlist,Icarusweg 131,2624 BE Delft,"295,000",2007,132,4,2624
1547412130-1429,https://www.funda.nl/koop/verkocht/delft/appartement-40739474-visstraat-9-b/?navigateSource=resultlist,Visstraat 9 b,2611 JW Delft,"295,000",1777,62,3,2611
