Id,Address,Price,Year,SqMtr,Rooms,Address-city,Code,pricePerM
1547392349-210,C. Fockstraat 49 2613 DC Delft,"265,000",1925,81,4,2613 DC Delft,2613,3271.604938
1547392318-204,Handboogstraat 7 2613 PZ Delft,"279,000",1906,85,4,2613 PZ Delft,2613,3282.352941
1547392557-266,De Vriesstraat 32 2613 CB Delft,"360,000",1933,109,5,2613 CB Delft,2613,3302.752294
1547392361-213,Van der Mastenstraat 41 2611 NX Delft,"259,000",1906,78,3,2611 NX Delft,2611,3320.512821
1547392549-263,Delfgauwseweg 397 2628 ET Delft,"489,500",1910,147,5,2628 ET Delft,2628,3329.931973
1547392383-218,Lijsterbeslaan 74 2612 VB Delft,"325,000",2015,97,4,2612 VB Delft,2612,3350.515464
1547392831-353,Burgemeestersrand 55 2625 NV Delft,"550,000",1998,164,5,2625 NV Delft,2625,3353.658537
1547392754-328,Prof. dr. Oudemansstraat 79 2628 KC Delft,"275,000",1952,82,3,2628 KC Delft,2628,3353.658537
1547392722-317,Ezelsveldlaan 272 2611 DL Delft,"399,500",2007,119,4,2611 DL Delft,2611,3357.142857
1547392940-388,Bartoutszate 38 2614 MK Delft,"610,000",2010,181,6,2614 MK Delft,2614,3370.165746
1547392921-381,Graswinckelstraat 12 2613 PW Delft,"350,000",1880,103,4,2613 PW Delft,2613,3398.058252
1547392283-195,Oil mill 11 2614 LH Delft,"275,000",2005,80,3,2614 LH Delft,2614,3437.5
1547392880-368,Teding van Berkhoutlaan 11 2614 AV Delft,"485,000",1995,141,5,2614 AV Delft,2614,3439.716312
1547392886-370,Hugo de Grootstraat 250 2613 VB Delft,"575,000",1923,167,5,2613 VB Delft,2613,3443.113772
1547392929-384,Buitenwatersloot 320 2614 GR Delft,"1,095,000",1980,318,9,2614 GR Delft,2614,3443.396226
1547392970-398,Landschapstraat 13 2614 WZ Delft,"639,000",1996,185,5,2614 WZ Delft,2614,3454.054054
