web-scraper-order,items-links-href,Address,Price,Year,SqMtr,Rooms,Address-city,Code,Energy,Plot,Floors,Surface
1547461692-1789,https://www.funda.nl/koop/delft/huis-40896716-teding-van-berkhoutlaan-11/?navigateSource=resultlist,Teding van Berkhoutlaan 11 2614 AV Delft,485000,1995,141,5,2614 AV Delft,2614,B,289,3,289
1547461661-1776,https://www.funda.nl/koop/delft/huis-40910790-hopstraat-15/?navigateSource=resultlist,Hopstraat 15 2611 TA Delft,175000,1906,42,2,2611 TA Delft,2611,F,28,2,28
1547461567-1735,https://www.funda.nl/koop/delft/huis-40893680-mahlerstraat-26/?navigateSource=resultlist,Mahlerstraat 26 2625 AS Delft,274500,1974,140,6,2625 AS Delft,2625,D,148,1,148
1547461516-1713,https://www.funda.nl/koop/delft/huis-40841471-brouwersstraat-10/?navigateSource=resultlist,Brouwersstraat 10 2613 PP Delft,199000,1887,50,3,2613 PP Delft,2613,C,57,2,57
1547461756-1817,https://www.funda.nl/koop/delft/huis-49319723-lagosweg-29-31/?navigateSource=resultlist,Lagosweg 29 31 2622 CZ Delft,485000,1997,231,8,2622 CZ Delft,2622,D,186,3,186
1547461624-1760,https://www.funda.nl/koop/delft/huis-40925382-arnoldstraat-2/?navigateSource=resultlist,Arnoldstraat 2 2613 DW Delft,259000,1906,85,4,2613 DW Delft,2613,F,50,3,50
1547461687-1787,https://www.funda.nl/koop/delft/huis-40528080-oude-delft-47/?navigateSource=resultlist,Oude Delft 47 2611 BC Delft,2495000,1653,565,10,2611 BC Delft,2611,C,301,5,301
1547461477-1696,https://www.funda.nl/koop/delft/huis-40866693-choorstraat-38-40/?navigateSource=resultlist,Choorstraat 38 40 2611 JH Delft,575000,1906,140,4,2611 JH Delft,2611,D,308,2,154
1547461490-1702,https://www.funda.nl/koop/delft/huis-40693250-ivoorkust-1/?navigateSource=resultlist,Ivoorkust 1 2622 GL Delft,495000,1993,200,6,2622 GL Delft,2622,B,665,2,665
1547461514-1712,https://www.funda.nl/koop/delft/huis-40832238-hof-van-zilverlicht-89/?navigateSource=resultlist,Hof van Zilverlicht 89 2614 TV Delft,285000,1994,108,4,2614 TV Delft,2614,C,93,3,93
