web-scraper-order,items-links-href,Address,Price,Year,SqMtr,Rooms,Address-city,Code,Energy,Plot,Floors,Surface
1547461464-1690,https://www.funda.nl/koop/delft/huis-40627325-bakemastraat-97-bwn-138/?navigateSource=resultlist,Bakemastraat 97 bwn 138 2628 ZS Delft,541250,2019,188,7,2628 ZS Delft,2628,A,62,1,62
1547461622-1759,https://www.funda.nl/koop/delft/huis-40994553-lange-geer-4/?navigateSource=resultlist,Lange Geer 4 2611 PV Delft,825000,1915,202,6,2611 PV Delft,2611,F,102,5,67
1547461728-1805,https://www.funda.nl/koop/delft/huis-40661289-buitenwatersloot-320/?navigateSource=resultlist,Buitenwatersloot 320 2614 GR Delft,1095000,1980,318,9,2614 GR Delft,2614,D,990,3,990
1547461719-1801,https://www.funda.nl/koop/delft/huis-40060614-jordaniestraat-10/?navigateSource=resultlist,Jordaniëstraat 10 2622 HT Delft,249500,1984,88,3,2622 HT Delft,2622,B,116,2,116
1547461653-1772,https://www.funda.nl/koop/delft/huis-40845544-henry-dunantlaan-43/?navigateSource=resultlist,Henry Dunantlaan 43 2614 GK Delft,650000,1970,166,7,2614 GK Delft,2614,C,470,3,470
1547461715-1799,https://www.funda.nl/koop/delft/huis-40067176-cubalaan-62/?navigateSource=resultlist,Cubalaan 62 2622 AL Delft,325000,1980,118,4,2622 AL Delft,2622,C,107,3,107
1547461741-1810,https://www.funda.nl/koop/delft/huis-40919366-buitenwatersloot-244/?navigateSource=resultlist,Buitenwatersloot 244 2613 SZ Delft,695000,1948,179,7,2613 SZ Delft,2613,C,317,2,317
1547461533-1720,https://www.funda.nl/koop/delft/huis-40699768-van-tijenstraat-70/?navigateSource=resultlist,Van Tijenstraat 70 2628 ZM Delft,565000,2019,191,7,2628 ZM Delft,2628,A,0,2,0
1547461642-1767,https://www.funda.nl/koop/delft/huis-40699225-nieuwe-plantage-93/?navigateSource=resultlist,Nieuwe Plantage 93 2611 XM Delft,735000,1906,205,6,2611 XM Delft,2611,F,244,3,244
1547461747-1813,https://www.funda.nl/koop/delft/huis-40848187-molukkenstraat-8/?navigateSource=resultlist,Molukkenstraat 8 2612 EC Delft,465000,1937,128,6,2612 EC Delft,2612,F,118,3,118
1547461520-1715,https://www.funda.nl/koop/delft/huis-40999437-laan-van-lekkerkerk-52/?navigateSource=resultlist,Laan van Lekkerkerk 52 2614 MN Delft,340000,2015,120,5,2614 MN Delft,2614,A,111,3,111
1547461704-1794,https://www.funda.nl/koop/delft/huis-40909336-machteld-van-meterenlaan-26/?navigateSource=resultlist,Machteld van Meterenlaan 26 2628 LR Delft,599500,2004,171,7,2628 LR Delft,2628,A,144,3,144
