web-scraper-order,items-links-href,Address,Address-city,Code,Price,Year,SqMtr,Rooms,Energy,Plot,Floors,Surface
1547468511-2512,https://www.funda.nl/koop/verkocht/delft/huis-40599778-laan-van-bentvelsen-56/?navigateSource=resultlist,Laan van Bentvelsen 56 2614 KH Delft,2614 KH Delft,2614,585000,2017,165,5,A,250,1,250
1547469141-2635,https://www.funda.nl/koop/verkocht/delft/huis-86018458-moutmolen-9/?navigateSource=resultlist,Moutmolen 9 2614 LT Delft,2614 LT Delft,2614,398000,2007,128,6,A,132,1,132
1547470137-2836,https://www.funda.nl/koop/verkocht/delft/huis-40893653-zuidwal-23/?navigateSource=resultlist,Zuidwal 23 2611 DD Delft,2611 DD Delft,2611,725000,2005,200,7,B,15,1,0
1547469132-2633,https://www.funda.nl/koop/verkocht/delft/huis-40426465-klinkerbuurt-3-fase-1-bouwnr-120/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 120) 2628 ZR Delft,2628 ZR Delft,2628,459000,2018,161,6,A,613,1,0
1547468909-2590,https://www.funda.nl/koop/verkocht/delft/huis-40589057-guldenwater-5-bouwnr-504/?navigateSource=resultlist,Guldenwater 5 (Bouwnr. 504) 2613 JV Delft,2613 JV Delft,2613,725000,2018,199,7,A,570,1,0
1547469164-2640,https://www.funda.nl/koop/verkocht/delft/huis-40426469-klinkerbuurt-3-fase-1-bouwnr-124/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 124) 2628 ZR Delft,2628 ZR Delft,2628,447500,2018,161,6,A,615,1,0
1547469625-2733,https://www.funda.nl/koop/verkocht/delft/huis-40716541-malisingel-5/?navigateSource=resultlist,Malisingel 5 2622 DC Delft,2622 DC Delft,2622,295000,1984,114,5,C,120,1,120
1547469225-2652,https://www.funda.nl/koop/verkocht/delft/huis-40426471-klinkerbuurt-3-fase-1-bouwnr-61/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 61) 2628 ZR Delft,2628 ZR Delft,2628,364000,2018,126,5,A,481,1,0
1547467463-2308,https://www.funda.nl/koop/verkocht/delft/huis-86802578-ruivenstraat-18/?navigateSource=resultlist,Ruivenstraat 18 2629 HL Delft,2629 HL Delft,2629,199000,1924,84,4,F,72,1,72
1547468283-2468,https://www.funda.nl/koop/verkocht/delft/huis-40691521-kalverbos-4/?navigateSource=resultlist,Kalverbos 4 2611 XW Delft,2611 XW Delft,2611,525000,1862,108,4,F,135,2,135
1547469732-2754,https://www.funda.nl/koop/verkocht/delft/huis-40889921-jordaniestraat-24/?navigateSource=resultlist,Jordaniëstraat 24 2622 HT Delft,2622 HT Delft,2622,265000,1986,116,6,C,116,3,116
1547468330-2477,https://www.funda.nl/koop/verkocht/delft/huis-40460595-ruys-de-beerenbrouckstraat-18/?navigateSource=resultlist,Ruys de Beerenbrouckstraat 18 2613 AT Delft,2613 AT Delft,2613,650000,1939,179,7,G,6,1,188
1547469378-2683,https://www.funda.nl/koop/verkocht/delft/huis-40524409-klinkerbuurt-3-fase-2-bouwnr-102/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 102) 2628 ZT Delft,2628 ZT Delft,2628,447500,2018,161,5,A,402,1,0
1547467750-2364,https://www.funda.nl/koop/verkocht/delft/huis-40484127-westerstraat-118/?navigateSource=resultlist,Westerstraat 118 2613 RK Delft,2613 RK Delft,2613,239000,1886,62,3,D,70,1,70
1547467581-2332,https://www.funda.nl/koop/verkocht/delft/huis-49363413-griegstraat-18/?navigateSource=resultlist,Griegstraat 18 2625 AE Delft,2625 AE Delft,2625,295000,1993,117,5,B,10,1,133
1547468539-2517,https://www.funda.nl/koop/verkocht/delft/huis-40524404-klinkerbuurt-3-fase-2-bouwnr-91/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 91) 2628 ZT Delft,2628 ZT Delft,2628,461000,2018,161,5,A,402,1,0
1547469322-2672,https://www.funda.nl/koop/verkocht/delft/huis-40859119-watersnipstraat-20/?navigateSource=resultlist,Watersnipstraat 20 2623 LS Delft,2623 LS Delft,2623,269000,1984,128,5,C,107,3,107
1547469122-2632,https://www.funda.nl/koop/verkocht/delft/huis-40426464-klinkerbuurt-3-fase-1-bouwnr-119/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 119) 2628 ZR Delft,2628 ZR Delft,2628,469500,2018,161,6,A,615,1,0
1547467272-2271,https://www.funda.nl/koop/verkocht/delft/huis-49383401-gelukkig-slot-bouwnr-38/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 38) 2614 SR Delft,2614 SR Delft,2614,490000,2018,175,5,A,470,1,0
1547467155-2247,https://www.funda.nl/koop/verkocht/delft/huis-40437166-de-genestetstraat-29/?navigateSource=resultlist,De Genestetstraat 29 2612 RL Delft,2612 RL Delft,2612,279000,1918,84,4,F,76,1,76
1547467483-2312,https://www.funda.nl/koop/verkocht/delft/huis-40495211-burgemeestersrand-44/?navigateSource=resultlist,Burgemeestersrand 44 2625 NW Delft,2625 NW Delft,2625,309000,1998,115,5,A,10,1,161
1547469392-2686,https://www.funda.nl/koop/verkocht/delft/huis-40524402-klinkerbuurt-3-fase-2-bouwnr-105/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 105) 2628 ZT Delft,2628 ZT Delft,2628,465000,2018,161,5,A,402,1,0
1547469597-2727,https://www.funda.nl/koop/verkocht/delft/huis-40710823-willemstraat-18/?navigateSource=resultlist,Willemstraat 18 2613 DT Delft,2613 DT Delft,2613,289000,1910,91,4,G,68,1,68
1547469508-2709,https://www.funda.nl/koop/verkocht/delft/huis-40524435-klinkerbuurt-3-fase-2-bouwnr-115/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 115) 2628 ZS Delft,2628 ZS Delft,2628,530000,2018,177,5,A,442,1,0
1547468691-2547,https://www.funda.nl/koop/verkocht/delft/huis-40593034-togostraat-29/?navigateSource=resultlist,Togostraat 29 2622 EX Delft,2622 EX Delft,2622,235000,1984,92,5,C,112,1,112
1547470016-2812,https://www.funda.nl/koop/verkocht/delft/huis-40849925-boeroestraat-26/?navigateSource=resultlist,Boeroestraat 26 2612 GG Delft,2612 GG Delft,2612,339500,1935,119,6,E,87,3,87
1547469849-2778,https://www.funda.nl/koop/verkocht/delft/huis-86357893-molstraat-42/?navigateSource=resultlist,Molstraat 42 2611 EN Delft,2611 EN Delft,2611,399000,1874,159,6,F,67,1,67
1547468186-2451,https://www.funda.nl/koop/verkocht/delft/huis-40487241-zuidmade-74/?navigateSource=resultlist,Zuidmade 74 2614 MB Delft,2614 MB Delft,2614,350000,2011,125,5,A,118,1,118
1547469234-2654,https://www.funda.nl/koop/verkocht/delft/huis-40426483-klinkerbuurt-3-fase-1-bouwnr-63/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 63) 2628 ZR Delft,2628 ZR Delft,2628,373000,2018,126,5,A,512,1,0
1547467104-2237,https://www.funda.nl/koop/verkocht/delft/huis-40405517-libanonstraat-19/?navigateSource=resultlist,Libanonstraat 19 2622 HS Delft,2622 HS Delft,2622,309000,1989,125,5,B,12,1,152
1547469015-2611,https://www.funda.nl/koop/verkocht/delft/huis-40523245-laan-van-groenewegen-18/?navigateSource=resultlist,Laan van Groenewegen 18 2614 KG Delft,2614 KG Delft,2614,895000,2010,217,7,A,445,1,445
1547468568-2523,https://www.funda.nl/koop/verkocht/delft/huis-40635970-sowetostraat-29/?navigateSource=resultlist,Sowetostraat 29 2622 LA Delft,2622 LA Delft,2622,325000,1990,129,6,C,3,1,137
1547467600-2335,https://www.funda.nl/koop/verkocht/delft/huis-40441076-amazoneweg-80/?navigateSource=resultlist,Amazoneweg 80 2622 DT Delft,2622 DT Delft,2622,290000,1993,130,6,B,9,3,111
1547469979-2804,https://www.funda.nl/koop/verkocht/delft/huis-40819752-delfgauwseweg-289/?navigateSource=resultlist,Delfgauwseweg 289 2628 ES Delft,2628 ES Delft,2628,325000,1935,124,5,F,5,1,149
1547468983-2604,https://www.funda.nl/koop/verkocht/delft/huis-40719349-verlengde-singelstraat-73/?navigateSource=resultlist,Verlengde Singelstraat 73 2613 ET Delft,2613 ET Delft,2613,250000,1906,70,4,E,64,1,64
1547468366-2483,https://www.funda.nl/koop/verkocht/delft/huis-40505050-singelstraat-35/?navigateSource=resultlist,Singelstraat 35 2613 EM Delft,2613 EM Delft,2613,410000,1895,116,4,G,89,1,89
1547467898-2393,https://www.funda.nl/koop/verkocht/delft/huis-49378097-marlot-de-zeel-bouwnr-4/?navigateSource=resultlist,Marlot De Zeel (Bouwnr. 4) 2614 Delft,2614 Delft,2614,327000,2018,123,5,A,332,1,0
1547468947-2598,https://www.funda.nl/koop/verkocht/delft/huis-40704868-oosteinde-60/?navigateSource=resultlist,Oosteinde 60 2611 SN Delft,2611 SN Delft,2611,500000,1906,136,5,E,121,1,121
1547469476-2703,https://www.funda.nl/koop/verkocht/delft/huis-40524429-klinkerbuurt-3-fase-2-bouwnr-94/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 94) 2628 ZT Delft,2628 ZT Delft,2628,363000,2018,126,4,A,315,1,0
1547468992-2606,https://www.funda.nl/koop/verkocht/delft/huis-40859124-graswinckelstraat-3/?navigateSource=resultlist,Graswinckelstraat 3 2613 PT Delft,2613 PT Delft,2613,239000,1906,65,3,F,56,1,56
1547468093-2432,https://www.funda.nl/koop/verkocht/delft/huis-40654802-weteringlaan-12/?navigateSource=resultlist,Weteringlaan 12 2613 WN Delft,2613 WN Delft,2613,500000,1955,129,5,C,4,1,142
1547469653-2738,https://www.funda.nl/koop/verkocht/delft/huis-40873727-liberiastraat-1/?navigateSource=resultlist,Liberiastraat 1 2622 DE Delft,2622 DE Delft,2622,289000,1984,117,5,B,143,1,143
1547467502-2316,https://www.funda.nl/koop/verkocht/delft/huis-40551742-nieuwe-langendijk-67-69/?navigateSource=resultlist,Nieuwe Langendijk 67 69 2611 VJ Delft,2611 VJ Delft,2611,285000,1906,117,4,E,38,1,38
1547467960-2406,https://www.funda.nl/koop/verkocht/delft/huis-40582666-bengalenstraat-3/?navigateSource=resultlist,Bengalenstraat 3 2622 KK Delft,2622 KK Delft,2622,232500,1990,86,4,C,139,2,139
1547470142-2837,https://www.funda.nl/koop/verkocht/delft/huis-40987948-orinocostraat-17/?navigateSource=resultlist,Orinocostraat 17 2622 BV Delft,2622 BV Delft,2622,315000,1982,117,6,C,7,1,122
1547469909-2790,https://www.funda.nl/koop/verkocht/delft/huis-40808926-hofzoom-18/?navigateSource=resultlist,Hofzoom 18 2614 VD Delft,2614 VD Delft,2614,425000,1995,152,5,B,4,1,110
1547469881-2784,https://www.funda.nl/koop/verkocht/delft/huis-40868989-sabangstraat-25/?navigateSource=resultlist,Sabangstraat 25 2612 BJ Delft,2612 BJ Delft,2612,300000,1935,86,4,E,103,1,103
1547469084-2624,https://www.funda.nl/koop/verkocht/delft/huis-40584727-koekamp-175/?navigateSource=resultlist,Koekamp 175 2623 XS Delft,2623 XS Delft,2623,329000,1979,140,5,C,6,1,241
1547469699-2748,https://www.funda.nl/koop/verkocht/delft/huis-86217928-kluutring-20/?navigateSource=resultlist,Kluutring 20 2623 NM Delft,2623 NM Delft,2623,200000,1980,75,4,C,116,1,116
1547469313-2670,https://www.funda.nl/koop/verkocht/delft/huis-40426499-klinkerbuurt-3-fase-1-bouwnr-79/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 79) 2628 ZR Delft,2628 ZR Delft,2628,373000,2018,130,5,A,500,1,0
1547469089-2625,https://www.funda.nl/koop/verkocht/delft/huis-40874853-hof-van-zilverlicht-33/?navigateSource=resultlist,Hof van Zilverlicht 33 2614 TV Delft,2614 TV Delft,2614,300000,1995,117,5,B,93,1,93
1547469113-2630,https://www.funda.nl/koop/verkocht/delft/huis-40425352-klinkerbuurt-3-fase-1-bouwnr-117/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 117) 2628 ZR Delft,2628 ZR Delft,2628,499500,2018,161,6,A,613,1,0
1547470086-2826,https://www.funda.nl/koop/verkocht/delft/huis-40912013-pasteurstraat-1/?navigateSource=resultlist,Pasteurstraat 1 2613 ZW Delft,2613 ZW Delft,2613,250000,1882,55,3,F,180,2,180
1547467080-2232,https://www.funda.nl/koop/verkocht/delft/huis-40490007-broederstiende-17/?navigateSource=resultlist,Broederstiende 17 2614 MG Delft,2614 MG Delft,2614,317500,2010,123,6,B,92,3,1
1547468830-2574,https://www.funda.nl/koop/verkocht/delft/huis-40420367-gebbenlaan-42/?navigateSource=resultlist,Gebbenlaan 42 2625 KB Delft,2625 KB Delft,2625,365000,1980,136,5,C,4,1,157
1547467844-2383,https://www.funda.nl/koop/verkocht/delft/huis-40598240-crommelinlaan-17/?navigateSource=resultlist,Crommelinlaan 17 2627 AD Delft,2627 AD Delft,2627,335000,1995,96,4,B,117,1,117
1547466998-2216,https://www.funda.nl/koop/verkocht/delft/huis-49336181-antoon-coolenlaan-43/?navigateSource=resultlist,Antoon Coolenlaan 43 2624 NW Delft,2624 NW Delft,2624,325000,1969,131,5,C,11,1,165
1547467169-2250,https://www.funda.nl/koop/verkocht/delft/huis-49383489-gelukkig-slot-bouwnr-2/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 2) 2614 SR Delft,2614 SR Delft,2614,345000,2018,125,7,A,340,1,0
1547468011-2416,https://www.funda.nl/koop/verkocht/delft/huis-49340822-zomerpad-15/?navigateSource=resultlist,Zomerpad 15 2614 WC Delft,2614 WC Delft,2614,319000,1994,121,8,B,25,2,100
1547468126-2438,https://www.funda.nl/koop/verkocht/delft/huis-40520221-medinastraat-19/?navigateSource=resultlist,Medinastraat 19 2622 KG Delft,2622 KG Delft,2622,310000,1990,112,5,C,7,1,155
1547468811-2571,https://www.funda.nl/koop/verkocht/delft/huis-40628538-simonsstraat-8/?navigateSource=resultlist,Simonsstraat 8 2628 TH Delft,2628 TH Delft,2628,250000,1930,147,6,F,3,1,97
1547470007-2810,https://www.funda.nl/koop/verkocht/delft/huis-40849008-buitenwatersloot-146/?navigateSource=resultlist,Buitenwatersloot 146 2613 SV Delft,2613 SV Delft,2613,199000,1906,38,3,F,39,2,34
1547468432-2497,https://www.funda.nl/koop/verkocht/delft/huis-49066236-zuiverwonenk17-bouwnr-17/?navigateSource=resultlist,ZuiverWonen(K17) (Bouwnr. 17) 2614 KH Delft,2614 KH Delft,2614,711820,2018,160,5,A,462,1,0
1547468016-2417,https://www.funda.nl/koop/verkocht/delft/huis-40511379-raamstraat-114/?navigateSource=resultlist,Raamstraat 114 2613 SG Delft,2613 SG Delft,2613,239000,1934,92,4,F,22,1,68
1547467253-2267,https://www.funda.nl/koop/verkocht/delft/huis-49383407-gelukkig-slot-bouwnr-34/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 34) 2614 SR Delft,2614 SR Delft,2614,480000,2018,175,5,A,470,1,0
1547469555-2719,https://www.funda.nl/koop/verkocht/delft/huis-40870679-hoflaan-23/?navigateSource=resultlist,Hoflaan 23 2616 AA Delft,2616 AA Delft,2616,795000,2007,202,6,A,40,1,256
1547468064-2426,https://www.funda.nl/koop/verkocht/delft/huis-40563193-namibiestraat-4/?navigateSource=resultlist,Namibiëstraat 4 2622 LD Delft,2622 LD Delft,2622,315000,1990,121,6,C,9,3,137
1547467656-2347,https://www.funda.nl/koop/verkocht/delft/huis-40557256-jan-de-wittstraat-41/?navigateSource=resultlist,Jan de Wittstraat 41 2613 TP Delft,2613 TP Delft,2613,225000,1923,76,3,G,100,1,100
1547468788-2566,https://www.funda.nl/koop/verkocht/delft/huis-40589914-floris-bouwnr-9/?navigateSource=resultlist,Floris (Bouwnr. 9) 2613 JV Delft,2613 JV Delft,2613,530000,2018,152,6,A,565,1,0
1547468135-2440,https://www.funda.nl/koop/verkocht/delft/huis-40650717-molenweide-74/?navigateSource=resultlist,Molenweide 74 2614 LK Delft,2614 LK Delft,2614,509000,2007,172,6,A,43,4,40
1547467694-2354,https://www.funda.nl/koop/verkocht/delft/huis-40466009-jordaniestraat-30/?navigateSource=resultlist,Jordaniëstraat 30 2622 HT Delft,2622 HT Delft,2622,275000,1984,108,6,C,9,1,116
1547470100-2828,https://www.funda.nl/koop/verkocht/delft/huis-40838071-witmolen-20/?navigateSource=resultlist,Witmolen 20 2614 LR Delft,2614 LR Delft,2614,400000,2006,129,6,A,104,1,104
1547467277-2272,https://www.funda.nl/koop/verkocht/delft/huis-49383402-gelukkig-slot-bouwnr-39/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 39) 2614 SR Delft,2614 SR Delft,2614,499500,2018,178,5,A,480,1,0
1547469592-2726,https://www.funda.nl/koop/verkocht/delft/huis-40885455-oceaanpad-7/?navigateSource=resultlist,Oceaanpad 7 2614 XA Delft,2614 XA Delft,2614,315000,1995,124,5,C,103,1,103
1547468662-2542,https://www.funda.nl/koop/verkocht/delft/huis-40678680-egelsingel-44/?navigateSource=resultlist,Egelsingel 44 2623 BL Delft,2623 BL Delft,2623,225000,1977,83,3,C,126,1,126
1547469970-2802,https://www.funda.nl/koop/verkocht/delft/huis-40887895-adriaan-pauwstraat-58/?navigateSource=resultlist,Adriaan Pauwstraat 58 2613 DB Delft,2613 DB Delft,2613,469000,1930,125,5,D,100,1,100
