web-scraper-order,items-links-href,Address,Address-city,Code,Price,Year,SqMtr,Rooms,Energy,Plot,Floors,Surface
1547467676-2350,https://www.funda.nl/koop/verkocht/delft/huis-40448146-kristalweg-74/?navigateSource=resultlist,Kristalweg 74 2614 TS Delft,2614 TS Delft,2614,299000,1994,111,4,C,104,3,104
1547469532-2714,https://www.funda.nl/koop/verkocht/delft/huis-40867142-vlamingstraat-21/?navigateSource=resultlist,Vlamingstraat 21 2611 KR Delft,2611 KR Delft,2611,375000,1906,126,5,E,2,1,95
1547469415-2691,https://www.funda.nl/koop/verkocht/delft/huis-40524417-klinkerbuurt-3-fase-2-bouwnr-110/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 110) 2628 ZT Delft,2628 ZT Delft,2628,457500,2018,161,5,A,402,1,0
1547470077-2824,https://www.funda.nl/koop/verkocht/delft/huis-40994932-van-barenstraat-38/?navigateSource=resultlist,Van Barenstraat 38 2628 LD Delft,2628 LD Delft,2628,465000,1989,114,5,B,11,1,173
1547469695-2747,https://www.funda.nl/koop/verkocht/delft/huis-86229333-schijflaan-20/?navigateSource=resultlist,Schijflaan 20 2625 KG Delft,2625 KG Delft,2625,299500,1975,132,5,C,125,1,125
1547469788-2766,https://www.funda.nl/koop/verkocht/delft/huis-40878576-hof-van-delftlaan-42/?navigateSource=resultlist,Hof van Delftlaan 42 2613 BP Delft,2613 BP Delft,2613,495000,1936,137,6,F,4,1,129
1547470058-2820,https://www.funda.nl/koop/verkocht/delft/huis-40888549-heemskerkstraat-2/?navigateSource=resultlist,Heemskerkstraat 2 2613 AL Delft,2613 AL Delft,2613,729000,1913,152,6,F,9,1,234
1547470054-2819,https://www.funda.nl/koop/verkocht/delft/huis-40843608-kristalweg-104/?navigateSource=resultlist,Kristalweg 104 2614 SG Delft,2614 SG Delft,2614,375000,2011,126,5,A,95,1,95
1547467032-2223,https://www.funda.nl/koop/verkocht/delft/huis-40483444-roerdomphof-3/?navigateSource=resultlist,Roerdomphof 3 2623 NP Delft,2623 NP Delft,2623,195000,1980,72,3,C,5,1,123
1547469956-2799,https://www.funda.nl/koop/verkocht/delft/huis-40842205-spoorsingel-83/?navigateSource=resultlist,Spoorsingel 83 2613 BB Delft,2613 BB Delft,2613,895000,1895,225,7,F,12,1,209
1547468403-2491,https://www.funda.nl/koop/verkocht/delft/huis-40678546-drukkerijlaan-17/?navigateSource=resultlist,Drukkerijlaan 17 2627 CN Delft,2627 CN Delft,2627,600000,2005,175,6,A,10,1,158
1547467244-2265,https://www.funda.nl/koop/verkocht/delft/huis-49383405-gelukkig-slot-bouwnr-32/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 32) 2614 SR Delft,2614 SR Delft,2614,480000,2018,175,5,A,470,1,0
1547468881-2585,https://www.funda.nl/koop/verkocht/delft/huis-40710994-molstraat-48/?navigateSource=resultlist,Molstraat 48 2611 EN Delft,2611 EN Delft,2611,325000,1901,77,4,F,55,1,55
1547467821-2378,https://www.funda.nl/koop/verkocht/delft/huis-49330370-laan-van-braat-15/?navigateSource=resultlist,Laan van Braat 15 2627 CL Delft,2627 CL Delft,2627,409000,2005,133,5,A,7,1,132
1547468344-2480,https://www.funda.nl/koop/verkocht/delft/huis-40540780-lausbergstraat-35/?navigateSource=resultlist,Lausbergstraat 35 2628 LA Delft,2628 LA Delft,2628,429000,1989,125,5,B,149,1,149
1547467179-2252,https://www.funda.nl/koop/verkocht/delft/huis-49383481-gelukkig-slot-bouwnr-4/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 4) 2614 SR Delft,2614 SR Delft,2614,395000,2018,175,7,A,470,1,0
1547469839-2776,https://www.funda.nl/koop/verkocht/delft/huis-40983377-delfgauwseweg-55/?navigateSource=resultlist,Delfgauwseweg 55 2628 EH Delft,2628 EH Delft,2628,325000,1901,98,5,A,64,1,64
1547470072-2823,https://www.funda.nl/koop/verkocht/delft/huis-40875744-molensingel-27/?navigateSource=resultlist,Molensingel 27 2614 LA Delft,2614 LA Delft,2614,429000,2006,143,5,A,113,1,113
1547467671-2349,https://www.funda.nl/koop/verkocht/delft/huis-86927267-delfgauwseweg-224/?navigateSource=resultlist,Delfgauwseweg 224 2628 EZ Delft,2628 EZ Delft,2628,520000,1951,131,5,E,12,1,459
1547468797-2568,https://www.funda.nl/koop/verkocht/delft/huis-40622946-jc-van-markenplein-1/?navigateSource=resultlist,J.C. van Markenplein 1 2613 AE Delft,2613 AE Delft,2613,875000,1930,236,9,G,15,3,288
1547467123-2241,https://www.funda.nl/koop/verkocht/delft/huis-40484096-westerstraat-13/?navigateSource=resultlist,Westerstraat 13 2613 RD Delft,2613 RD Delft,2613,259000,1906,80,4,F,62,1,62
1547469070-2621,https://www.funda.nl/koop/verkocht/delft/huis-40869623-jan-de-wittstraat-37/?navigateSource=resultlist,Jan de Wittstraat 37 2613 TP Delft,2613 TP Delft,2613,265000,1923,76,4,G,101,1,101
1547470067-2822,https://www.funda.nl/koop/verkocht/delft/huis-40663185-waterloop-2/?navigateSource=resultlist,Waterloop 2 2614 XC Delft,2614 XC Delft,2614,398000,1995,165,5,B,13,1,72
1547467454-2306,https://www.funda.nl/koop/verkocht/delft/huis-40557353-van-hallstraat-9/?navigateSource=resultlist,Van Hallstraat 9 2613 CK Delft,2613 CK Delft,2613,425000,1935,114,6,F,6,1,109
1547468265-2465,https://www.funda.nl/koop/verkocht/delft/huis-40576801-willem-de-zwijgerstraat-6/?navigateSource=resultlist,Willem de Zwijgerstraat 6 2628 SP Delft,2628 SP Delft,2628,549000,1914,162,7,F,3,1,155
1547469853-2779,https://www.funda.nl/koop/verkocht/delft/huis-40843480-hazenlaan-20/?navigateSource=resultlist,Hazenlaan 20 2623 BH Delft,2623 BH Delft,2623,259000,1978,86,4,D,137,1,137
1547468835-2575,https://www.funda.nl/koop/verkocht/delft/huis-86221534-kloosterkade-184/?navigateSource=resultlist,Kloosterkade 184 2628 JH Delft,2628 JH Delft,2628,350000,1928,121,5,C,100,3,100
1547467680-2351,https://www.funda.nl/koop/verkocht/delft/huis-40437126-koetlaan-23/?navigateSource=resultlist,Koetlaan 23 2625 KR Delft,2625 KR Delft,2625,595000,1970,160,6,D,260,1,260
1547468035-2421,https://www.funda.nl/koop/verkocht/delft/huis-40521020-derde-werelddreef-206/?navigateSource=resultlist,Derde Werelddreef 206 2622 HJ Delft,2622 HJ Delft,2622,285000,1987,114,6,C,140,1,140
1547470128-2834,https://www.funda.nl/koop/verkocht/delft/huis-40846121-cole-porterstraat-33/?navigateSource=resultlist,Cole Porterstraat 33 2625 WP Delft,2625 WP Delft,2625,289000,1985,106,6,C,131,1,131
1547467572-2330,https://www.funda.nl/koop/verkocht/delft/huis-40555966-kampveld-5/?navigateSource=resultlist,Kampveld 5 2611 DA Delft,2611 DA Delft,2611,369750,1999,134,4,B,73,1,57
1547468601-2529,https://www.funda.nl/koop/verkocht/delft/huis-40752715-laan-van-bentvelsen-2-xx/?navigateSource=resultlist,Laan van Bentvelsen 2 xx 2614 KH Delft,2614 KH Delft,2614,494000,2019,142,6,A,534,1,0
1547468375-2485,https://www.funda.nl/koop/verkocht/delft/huis-40548008-rooseveltlaan-25/?navigateSource=resultlist,Rooseveltlaan 25 2625 GL Delft,2625 GL Delft,2625,269500,1969,110,5,C,164,1,164
1547469900-2788,https://www.funda.nl/koop/verkocht/delft/huis-40894802-zuideinde-86/?navigateSource=resultlist,Zuideinde 86 2627 AG Delft,2627 AG Delft,2627,595000,1650,131,6,C,15,1,46
1547468131-2439,https://www.funda.nl/koop/verkocht/delft/huis-40415307-meerkoetlaan-70/?navigateSource=resultlist,Meerkoetlaan 70 2623 NJ Delft,2623 NJ Delft,2623,225000,1980,73,4,B,125,1,125
1547469159-2639,https://www.funda.nl/koop/verkocht/delft/huis-40426468-klinkerbuurt-3-fase-1-bouwnr-123/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 123) 2628 ZR Delft,2628 ZR Delft,2628,452500,2018,161,6,A,652,1,0
1547467618-2339,https://www.funda.nl/koop/verkocht/delft/huis-49399583-paxlaan-74/?navigateSource=resultlist,Paxlaan 74 2613 GE Delft,2613 GE Delft,2613,219000,1906,70,3,F,11,1,46
1547470063-2821,https://www.funda.nl/koop/verkocht/delft/huis-40814704-delfgauwseweg-53/?navigateSource=resultlist,Delfgauwseweg 53 2628 EH Delft,2628 EH Delft,2628,259000,1901,88,3,F,8,1,0
1547470165-2842,https://www.funda.nl/koop/verkocht/delft/huis-40876769-van-miereveltlaan-15/?navigateSource=resultlist,Van Miereveltlaan 15 2612 XE Delft,2612 XE Delft,2612,375000,1950,127,6,E,2,1,144
1547469253-2658,https://www.funda.nl/koop/verkocht/delft/huis-40426487-klinkerbuurt-3-fase-1-bouwnr-67/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 67) 2628 ZR Delft,2628 ZR Delft,2628,357000,2018,126,5,A,479,1,0
1547468474-2504,https://www.funda.nl/koop/verkocht/delft/huis-40540340-sint-eustatiusstraat-3/?navigateSource=resultlist,Sint Eustatiusstraat 3 2612 HA Delft,2612 HA Delft,2612,615000,1958,150,5,F,3,2,365
1547469863-2781,https://www.funda.nl/koop/verkocht/delft/huis-40894319-hofeiland-13/?navigateSource=resultlist,Hofeiland 13 2614 TA Delft,2614 TA Delft,2614,399000,1995,126,4,B,42,1,64
1547469034-2615,https://www.funda.nl/koop/verkocht/delft/huis-40855660-glenn-millerstraat-14/?navigateSource=resultlist,Glenn Millerstraat 14 2625 WM Delft,2625 WM Delft,2625,269000,2011,95,4,A,315,1,0
1547467235-2263,https://www.funda.nl/koop/verkocht/delft/huis-49383403-gelukkig-slot-bouwnr-23/?navigateSource=resultlist,Gelukkig Slot (Bouwnr. 23) 2614 SR Delft,2614 SR Delft,2614,490000,2018,175,5,A,470,1,0
1547468483-2506,https://www.funda.nl/koop/verkocht/delft/huis-40688489-kenyattastraat-10/?navigateSource=resultlist,Kenyattastraat 10 2622 GK Delft,2622 GK Delft,2622,235000,1985,101,4,C,102,1,102
1547470147-2838,https://www.funda.nl/koop/verkocht/delft/huis-40635387-amazoneweg-26/?navigateSource=resultlist,Amazoneweg 26 2622 DS Delft,2622 DS Delft,2622,299000,1993,118,4,B,13,1,106
